front,back
"What are the key things interviewers look for in take-home assignments?","1) Code quality: clean, readable, well-structured. 2) Component architecture: sensible separation, reusable pieces. 3) Attention to detail: matches the spec, handles edge cases. 4) Accessibility: semantic HTML, keyboard navigation, ARIA where needed. 5) Responsiveness: works on mobile and desktop. 6) Performance awareness: not over-engineered but no obvious issues. 7) Git history: clean commits showing your thought process. 8) Documentation: brief README explaining decisions and trade-offs."
"How should you structure a take-home React project?","Start with Next.js or Vite. Organise: app/ or pages/ for routes, components/ with one folder per component (Component.tsx, Component.test.tsx), lib/ for utilities, hooks/ for custom hooks, types/ for shared types. Use TypeScript. Set up Tailwind or CSS modules for styling. Add ESLint and Prettier. Write at least a few tests for critical logic. Include a README with: setup instructions, decisions made, what you would improve with more time."
"What should you do in the first 30 minutes of a 4-hour take-home?","1) Read the spec twice. Highlight requirements vs nice-to-haves. 2) Identify the core feature vs polish (prioritise core). 3) Sketch the component tree on paper. 4) Set up the project (Next.js, TypeScript, Tailwind, ESLint). 5) Create a rough plan: hour 1 = core functionality, hour 2 = styling and responsiveness, hour 3 = edge cases and polish, hour 4 = testing, README, cleanup. 6) Make your first commit: project setup."
"How do you handle state management in a take-home assignment?","Keep it simple. For most take-homes, useState and useContext are sufficient. Do not reach for Redux or Zustand unless the assignment specifically requires complex state. Use useReducer for forms or multi-step flows. If data fetching is involved, use native fetch with useEffect or React Query if the project allows dependencies. Show that you can choose the right tool for the scale of the problem."
"How do you demonstrate accessibility in a take-home?","Use semantic HTML: button (not div with onClick), nav, main, article, label with htmlFor. Add alt text to images. Ensure form inputs have visible labels. Make interactive elements keyboard accessible (tabIndex, onKeyDown for Enter/Space). Use aria-label for icon-only buttons. Add focus visible styles. Mention prefers-reduced-motion for animations. Include a brief note in your README about accessibility considerations."
"How should you handle API calls in a take-home?","Create a dedicated API layer (lib/api.ts) with typed functions. Handle loading, error, and empty states in the UI. Use try/catch with user-friendly error messages. If the API is provided: respect rate limits, handle pagination. If you need mock data: use a consistent mock structure, consider MSW (Mock Service Worker) for realistic mocking. Show error boundaries for unexpected failures."
"What testing should you include in a take-home?","At minimum: unit tests for utility functions and core logic. If time allows: integration tests for key user flows with Testing Library (render component, simulate interaction, assert result). Do not aim for 100% coverage. Test the happy path and one or two edge cases for the most critical feature. Use describe/it blocks with clear names. Include a test script in package.json."
"How do you handle responsive design in a take-home?","Mobile-first approach: start with mobile styles, add breakpoints for larger screens. Use CSS Grid or Flexbox for layout. Test at 375px (mobile), 768px (tablet), 1024px+ (desktop). Use clamp() for fluid typography. Make touch targets at least 44x44px. Use rem/em over px for sizing. If the spec does not include mobile designs, make sensible decisions and document them in your README."
"What are common mistakes to avoid in take-home assignments?","1) Over-engineering: adding features not asked for. 2) No error handling: happy path only. 3) Huge commits: one commit with everything. 4) No README: interviewers need setup instructions. 5) Ignored edge cases: empty states, loading states, long text. 6) No TypeScript or all 'any' types. 7) Broken on mobile. 8) Console errors or warnings left in. 9) Dependencies not in package.json (works on your machine only). 10) Spending too long: respect the time limit stated."
"How do you explain your decisions in a take-home README?","Structure: Brief project description. Setup instructions (clone, install, run, test). Architecture decisions: why you chose this structure, styling approach, state management. Trade-offs: what you would do differently with more time. Known limitations: anything you are aware of but could not fix in the time. Tech choices: why you chose specific libraries. Keep it concise: bullet points, not essays."
"How do you approach styling in a take-home?","Choose ONE approach and be consistent: Tailwind (fast, utility-first, widely used), CSS Modules (scoped, no library), or styled-components/Emotion (CSS-in-JS). Do not mix approaches. Focus on: consistent spacing (use a scale: 4px, 8px, 16px, 24px, 32px), typography hierarchy, colour consistency, transitions on interactive elements. Polish matters: subtle hover states, loading skeletons, smooth transitions signal attention to detail."
"How do you handle time pressure in a take-home assignment?","1) Build the minimum viable feature first, then layer polish. 2) Use a timer: check in at 25%, 50%, 75%. 3) If behind schedule, cut scope not quality. 4) Skip animations and micro-interactions until core works. 5) A clean, working 80% is better than a broken 100%. 6) Leave 30 minutes at the end for cleanup, testing, and README. 7) Document what you would add with more time."
